correct value,prediction
0.0,0.28629726
1.0,0.4944145
0.0,0.3221295
0.0,0.29692566
1.0,1.7159178
1.0,0.80179936
1.0,0.39192563
1.0,1.2072649
1.0,0.7074738
1.0,0.39696324
1.0,0.3718138
1.0,0.99302715
0.0,0.35604385
1.0,0.39219475
0.0,0.3582899
1.0,0.40340412
1.0,1.1288879
0.0,0.32659358
1.0,0.3790286
0.0,0.20002711
0.0,0.19302198
1.0,0.787456
1.0,0.42885053
1.0,0.8646842
1.0,0.62477213
1.0,1.3694699
1.0,1.5256586
1.0,0.8707766
0.0,0.24312967
1.0,0.41043133
0.0,0.22864759
1.0,0.3479784
0.0,0.28981966
0.0,0.3582482
0.0,0.17928833
1.0,0.37546915
0.0,0.2831969
1.0,0.50687855
1.0,2.2126667
0.0,0.2618221
1.0,0.5303547
1.0,0.69013673
0.0,0.34007478
0.0,0.32742578
1.0,0.3722149
0.0,0.14643812
1.0,0.5887269
1.0,0.5213127
0.0,0.33525717
1.0,1.2559552
0.0,0.17521012
1.0,0.3799813
0.0,0.19973344
0.0,0.34378916
1.0,0.89077777
0.0,0.24880153
1.0,0.93328756
0.0,0.26119366
1.0,0.39797825
0.0,0.28942806
1.0,1.7632565
1.0,0.7649353
1.0,1.4942956
1.0,0.68205726
1.0,0.37715766
0.0,0.23362744
1.0,1.0374835
0.0,0.25711012
1.0,0.766266
1.0,0.53867847
1.0,0.5190712
0.0,0.3273512
1.0,0.39562398
0.0,0.33959693
1.0,1.5659528
0.0,0.36768606
1.0,1.2793787
1.0,0.9574571
0.0,0.20129752
1.0,0.34185314
1.0,0.9787275
1.0,0.5752086
1.0,0.55071175
1.0,1.6450887
1.0,1.1986995
0.0,0.24424776
1.0,0.6798697
0.0,0.21079433
1.0,0.92554027
1.0,0.35167828
1.0,0.90786093
1.0,0.48721462
1.0,0.60881287
0.0,0.26186964
1.0,0.6921439
1.0,1.2594323
0.0,0.17837524
1.0,1.5100582
0.0,0.17928207
0.0,0.19666883
0.0,0.25644314
0.0,0.1294211
0.0,0.33032447
1.0,0.67842984
1.0,0.98600453
1.0,1.4099948
1.0,2.0799482
1.0,1.0009961
1.0,1.3432784
1.0,0.8007329
0.0,0.3124958
1.0,0.72313964
0.0,0.35784578
0.0,0.36013436
0.0,0.23805141
1.0,0.28207263
0.0,0.23380148
1.0,0.90433615
1.0,0.48528904
0.0,0.14589599
1.0,1.981813
0.0,0.09697208
0.0,0.18981516
0.0,0.30116636
1.0,0.43661362
1.0,1.4111066
1.0,0.6464229
1.0,1.1034071
0.0,0.22155797
1.0,0.37251073
1.0,0.6502519
1.0,0.4474221
1.0,0.6533462
0.0,0.27979195
1.0,0.5808135
1.0,0.5860227
0.0,0.327748
1.0,2.0339003
1.0,1.985147
0.0,0.19747186
1.0,0.40060687
1.0,1.3505142
1.0,0.36797544
1.0,0.89505154
0.0,0.2687297
1.0,1.1722479
1.0,0.69042677
1.0,0.7186404
1.0,0.44578218
1.0,0.3993336
1.0,0.74502486
0.0,0.28098688
0.0,0.22352952
1.0,0.37545344
0.0,0.31138194
0.0,0.21646082
1.0,0.4528457
1.0,0.7614065
0.0,0.36730665
1.0,0.38288158
0.0,0.30527812
1.0,0.43017542
1.0,0.4258812
1.0,0.390961
1.0,0.34265748
1.0,1.0899897
1.0,1.4105883
1.0,0.93354803
0.0,0.31701905
1.0,0.42902797
1.0,0.800658
1.0,0.79025376
0.0,0.24980551
1.0,0.7176724
0.0,0.26605114
1.0,1.5704134
1.0,1.0657744
0.0,0.25058693
0.0,0.28701448
1.0,1.1816366
0.0,0.18360299
1.0,1.6339679
1.0,0.84970206
1.0,1.4295149
1.0,0.35513207
1.0,0.7469315
0.0,0.33450282
0.0,0.192927
1.0,0.3442565
0.0,0.23854533
0.0,0.28476053
1.0,0.9722057
0.0,0.33607876
1.0,0.37020653
0.0,0.25632057
0.0,0.30101955
1.0,0.47150916
1.0,1.0545375
1.0,1.4197242
0.0,0.19358194
1.0,0.871423
0.0,0.20884952
1.0,0.43796426
1.0,0.9150248
1.0,0.5692627
0.0,0.19616926
1.0,0.7325978
1.0,1.5804586
1.0,0.72119325
